,Batch Trade,Individual Trade
2022-07-07,1381.0,3619.0
2022-07-08,1381.0,3619.0
2022-07-09,1381.0,3619.0
2022-07-10,1381.0,3619.0
2022-07-11,1381.0,3619.0
2022-07-12,1381.0,3619.0
2022-07-13,1381.0,3619.0
2022-07-14,1381.0,3619.0
2022-07-15,1381.0,3619.0
2022-07-16,1381.0,3619.0
2022-07-17,1381.0,3619.0
2022-07-18,1381.0,3619.0
2022-07-19,1381.0,3619.0
2022-07-20,1381.0,3619.0
2022-07-21,1381.0,3619.0
2022-07-22,1381.0,3619.0
2022-07-23,1381.0,3619.0
2022-07-24,1381.0,3619.0
2022-07-25,1381.0,3619.0
2022-07-26,1381.0,3619.0
2022-07-27,1381.0,3619.0
2022-07-28,1381.0,3619.0
2022-07-29,1381.0,3619.0
2022-07-30,1381.0,3619.0
2022-07-31,1381.0,3619.0
2022-08-01,1381.0,3619.0
2022-08-02,1381.0,3619.0
2022-08-03,1381.0,3619.0
2022-08-04,1381.0,3619.0
2022-08-05,1381.0,3619.0
